date_string,usd_to_rmb,usd_to_jpy
"1990, Thursday, Jan 25",4.7339,144.42
"1990, Friday, Jan 26",4.7339,143.35
"1990, Monday, Jan 29",4.7339,143.13
"1990, Tuesday, Jan 30",4.7339,144.1
"1990, Wednesday, Jan 31",4.7339,144.55
"1990, Thursday, Feb 01",4.7339,144.9
"1990, Friday, Feb 02",4.7339,145.38
"1990, Monday, Feb 05",4.7339,145.39
"1990, Tuesday, Feb 06",4.7339,145.13
"1990, Wednesday, Feb 07",4.7339,145.47
"1990, Thursday, Feb 08",4.7339,145.4
"1990, Friday, Feb 09",4.7339,145.2
"1990, Monday, Feb 12",4.7339,144.2
"1990, Tuesday, Feb 13",4.7339,144.4
"1990, Wednesday, Feb 14",4.7339,144.27
"1990, Thursday, Feb 15",4.7339,144.4
"1990, Friday, Feb 16",4.7339,144.15
"1990, Monday, Feb 19",,
"1990, Tuesday, Feb 20",4.7339,145.45
"1990, Wednesday, Feb 21",4.7339,145.32
"1990, Thursday, Feb 22",4.7339,145.89
"1990, Friday, Feb 23",4.7339,146.92
"1990, Monday, Feb 26",4.7339,148.85
"1990, Tuesday, Feb 27",4.7339,148.63
"1990, Wednesday, Feb 28",4.7339,148.82
"1990, Thursday, Mar 01",4.7339,149.67
"1990, Friday, Mar 02",4.7339,150.28
"1990, Monday, Mar 05",4.7339,149.78
"1990, Tuesday, Mar 06",4.7339,149.8
"1990, Wednesday, Mar 07",4.7339,151.22
"1990, Thursday, Mar 08",4.7339,150.83
"1990, Friday, Mar 09",4.7339,151.34
"1990, Monday, Mar 12",4.7339,152.38
"1990, Tuesday, Mar 13",4.7339,152.55
"1990, Wednesday, Mar 14",4.7339,152.24
"1990, Thursday, Mar 15",4.7339,152.55
"1990, Friday, Mar 16",4.7339,152.38
"1990, Monday, Mar 19",4.7339,153.5
"1990, Tuesday, Mar 20",4.7339,153.88
"1990, Wednesday, Mar 21",4.7339,154.16
"1990, Thursday, Mar 22",4.7339,155.1
"1990, Friday, Mar 23",4.7339,153.9
"1990, Monday, Mar 26",4.7339,156.5
"1990, Tuesday, Mar 27",4.7339,157.4
"1990, Wednesday, Mar 28",4.7339,158.75
"1990, Thursday, Mar 29",4.7339,156.75
"1990, Friday, Mar 30",4.7339,157.82
"1990, Monday, Apr 02",4.7334,158.9
"1990, Tuesday, Apr 03",4.7334,159.13
"1990, Wednesday, Apr 04",4.7339,158.6
"1990, Thursday, Apr 05",4.7339,157.68
"1990, Friday, Apr 06",4.7339,157.65
"1990, Monday, Apr 09",4.7339,157.5
"1990, Tuesday, Apr 10",4.7339,158.58
"1990, Wednesday, Apr 11",4.7339,158.28
"1990, Thursday, Apr 12",4.7339,158.19
"1990, Friday, Apr 13",4.7339,158.75
"1990, Monday, Apr 16",4.7339,159.37
"1990, Tuesday, Apr 17",4.7339,159.9
"1990, Wednesday, Apr 18",4.7339,159.1
"1990, Thursday, Apr 19",4.7339,156.5
"1990, Friday, Apr 20",4.7339,157.85
"1990, Monday, Apr 23",4.7339,157.7
"1990, Tuesday, Apr 24",4.7339,158.72
"1990, Wednesday, Apr 25",4.7339,158.73
"1990, Thursday, Apr 26",4.7339,158.75
"1990, Friday, Apr 27",4.7339,158.9
"1990, Monday, Apr 30",4.7339,158.85
"1990, Tuesday, May 01",4.7339,158.85
"1990, Wednesday, May 02",4.7339,158.3
"1990, Thursday, May 03",4.7339,158.15
"1990, Friday, May 04",4.7339,158.35
"1990, Monday, May 07",4.7339,158.0
"1990, Tuesday, May 08",4.7339,157.9
"1990, Wednesday, May 09",4.7339,156.45
"1990, Thursday, May 10",4.7339,157.0
"1990, Friday, May 11",4.7339,152.73
"1990, Monday, May 14",4.7339,152.77
"1990, Tuesday, May 15",4.7339,151.4
"1990, Wednesday, May 16",4.7339,151.43
"1990, Thursday, May 17",4.7339,152.35
"1990, Friday, May 18",4.7339,152.85
"1990, Monday, May 21",4.7339,153.53
"1990, Tuesday, May 22",4.7339,151.6
"1990, Wednesday, May 23",4.7339,151.23
"1990, Thursday, May 24",4.7339,151.55
"1990, Friday, May 25",4.7339,149.69
"1990, Monday, May 28",,
"1990, Tuesday, May 29",4.7339,150.88
"1990, Wednesday, May 30",4.7339,151.32
"1990, Thursday, May 31",4.7339,152.64
"1990, Friday, Jun 01",4.7339,151.39
"1990, Monday, Jun 04",4.7339,151.6
"1990, Tuesday, Jun 05",4.7339,152.65
"1990, Wednesday, Jun 06",4.7339,152.55
"1990, Thursday, Jun 07",4.7339,152.53
"1990, Friday, Jun 08",4.7339,153.53
"1990, Monday, Jun 11",4.7339,154.52
"1990, Tuesday, Jun 12",4.7339,154.44
"1990, Wednesday, Jun 13",4.7339,154.79
"1990, Thursday, Jun 14",4.7339,154.07
"1990, Friday, Jun 15",4.7339,154.2
"1990, Monday, Jun 18",4.7339,153.7
"1990, Tuesday, Jun 19",4.7334,153.65
"1990, Wednesday, Jun 20",4.7339,154.0
"1990, Thursday, Jun 21",4.7339,154.82
"1990, Friday, Jun 22",4.7339,154.75
"1990, Monday, Jun 25",4.7339,155.37
"1990, Tuesday, Jun 26",4.7339,155.15
"1990, Wednesday, Jun 27",4.7339,154.38
"1990, Thursday, Jun 28",4.7339,153.17
"1990, Friday, Jun 29",4.7339,152.35
"1990, Monday, Jul 02",4.7339,151.27
"1990, Tuesday, Jul 03",4.7339,151.2
"1990, Wednesday, Jul 04",,
"1990, Thursday, Jul 05",4.7339,150.77
"1990, Friday, Jul 06",4.7339,151.03
"1990, Monday, Jul 09",4.7339,151.1
"1990, Tuesday, Jul 10",4.7339,148.9
"1990, Wednesday, Jul 11",4.7339,148.68
"1990, Thursday, Jul 12",4.7339,148.6
"1990, Friday, Jul 13",4.7339,147.5
"1990, Monday, Jul 16",4.7339,148.05
"1990, Tuesday, Jul 17",4.7339,148.35
"1990, Wednesday, Jul 18",4.7339,147.3
"1990, Thursday, Jul 19",4.7339,148.05
"1990, Friday, Jul 20",4.7339,148.97
"1990, Monday, Jul 23",4.7339,148.45
"1990, Tuesday, Jul 24",4.7339,148.35
"1990, Wednesday, Jul 25",4.7339,148.88
"1990, Thursday, Jul 26",4.7339,150.45
"1990, Friday, Jul 27",4.7339,149.6
"1990, Monday, Jul 30",4.7339,148.2
"1990, Tuesday, Jul 31",4.7339,146.13
"1990, Wednesday, Aug 01",4.7339,147.25
"1990, Thursday, Aug 02",4.7339,149.6
"1990, Friday, Aug 03",4.7339,149.9
"1990, Monday, Aug 06",4.7339,149.75
"1990, Tuesday, Aug 07",4.7339,149.8
"1990, Wednesday, Aug 08",4.7339,150.15
"1990, Thursday, Aug 09",4.7339,149.82
"1990, Friday, Aug 10",4.7339,150.15
"1990, Monday, Aug 13",4.7339,150.35
"1990, Tuesday, Aug 14",4.7339,149.48
"1990, Wednesday, Aug 15",4.7339,147.45
"1990, Thursday, Aug 16",4.7339,148.38
"1990, Friday, Aug 17",4.7339,147.57
"1990, Monday, Aug 20",4.7339,146.87
"1990, Tuesday, Aug 21",4.7339,146.4
"1990, Wednesday, Aug 22",4.7339,145.75
"1990, Thursday, Aug 23",4.7339,146.6
"1990, Friday, Aug 24",4.7339,146.55
"1990, Monday, Aug 27",4.7339,144.45
"1990, Tuesday, Aug 28",4.7339,143.48
"1990, Wednesday, Aug 29",4.7339,143.62
"1990, Thursday, Aug 30",4.7339,144.3
"1990, Friday, Aug 31",4.7339,143.93
"1990, Monday, Sep 03",,
"1990, Tuesday, Sep 04",4.7339,143.55
"1990, Wednesday, Sep 05",4.7339,141.68
"1990, Thursday, Sep 06",4.7339,141.05
"1990, Friday, Sep 07",4.7339,140.1
"1990, Monday, Sep 10",4.7339,139.2
"1990, Tuesday, Sep 11",4.7339,139.85
"1990, Wednesday, Sep 12",4.7339,137.7
"1990, Thursday, Sep 13",4.7339,137.35
"1990, Friday, Sep 14",4.7339,136.67
"1990, Monday, Sep 17",4.7339,137.0
"1990, Tuesday, Sep 18",4.7399,137.5
"1990, Wednesday, Sep 19",4.7339,137.5
"1990, Thursday, Sep 20",4.7339,136.93
"1990, Friday, Sep 21",4.7339,136.9
"1990, Monday, Sep 24",4.7339,136.1
"1990, Tuesday, Sep 25",4.7339,137.38
"1990, Wednesday, Sep 26",4.7339,137.27
"1990, Thursday, Sep 27",4.7339,138.37
"1990, Friday, Sep 28",4.7339,138.27
"1990, Monday, Oct 01",4.7339,136.9
"1990, Tuesday, Oct 02",4.7339,136.95
"1990, Wednesday, Oct 03",4.7339,136.13
"1990, Thursday, Oct 04",4.7339,133.9
"1990, Friday, Oct 05",4.7339,132.4
"1990, Monday, Oct 08",,
"1990, Tuesday, Oct 09",4.7339,130.33
"1990, Wednesday, Oct 10",4.7339,129.97
"1990, Thursday, Oct 11",4.7339,129.95
"1990, Friday, Oct 12",4.7339,128.65
"1990, Monday, Oct 15",4.7339,128.15
"1990, Tuesday, Oct 16",4.7339,127.25
"1990, Wednesday, Oct 17",4.7339,125.27
"1990, Thursday, Oct 18",4.7339,125.05
"1990, Friday, Oct 19",4.7339,125.75
"1990, Monday, Oct 22",4.7339,126.05
"1990, Tuesday, Oct 23",4.7339,127.5
"1990, Wednesday, Oct 24",4.7339,128.05
"1990, Thursday, Oct 25",4.7339,127.3
"1990, Friday, Oct 26",4.7339,128.0
"1990, Monday, Oct 29",4.7339,128.4
"1990, Tuesday, Oct 30",4.7339,129.1
"1990, Wednesday, Oct 31",4.7339,129.95
"1990, Thursday, Nov 01",4.7339,130.48
"1990, Friday, Nov 02",4.7339,128.6
"1990, Monday, Nov 05",4.7339,126.8
"1990, Tuesday, Nov 06",4.7339,127.3
"1990, Wednesday, Nov 07",4.7339,128.15
"1990, Thursday, Nov 08",4.7339,129.9
"1990, Friday, Nov 09",4.7339,129.73
"1990, Monday, Nov 12",,
"1990, Tuesday, Nov 13",4.7339,129.6
"1990, Wednesday, Nov 14",4.7339,129.62
"1990, Thursday, Nov 15",4.7339,129.27
"1990, Friday, Nov 16",,129.43
"1990, Monday, Nov 19",5.2352,129.0
"1990, Tuesday, Nov 20",5.2352,128.95
"1990, Wednesday, Nov 21",5.2352,127.65
"1990, Thursday, Nov 22",,
"1990, Friday, Nov 23",5.2352,127.35
"1990, Monday, Nov 26",5.2352,128.75
"1990, Tuesday, Nov 27",5.2352,128.33
"1990, Wednesday, Nov 28",5.2352,129.85
"1990, Thursday, Nov 29",5.2352,132.45
"1990, Friday, Nov 30",5.2352,133.1
"1990, Monday, Dec 03",5.2352,134.4
"1990, Tuesday, Dec 04",5.2352,134.05
"1990, Wednesday, Dec 05",5.2352,134.53
"1990, Thursday, Dec 06",5.2352,132.35
"1990, Friday, Dec 07",5.2352,131.05
"1990, Monday, Dec 10",5.2352,131.9
"1990, Tuesday, Dec 11",5.2352,132.1
"1990, Wednesday, Dec 12",5.2352,131.82
"1990, Thursday, Dec 13",5.2352,132.13
"1990, Friday, Dec 14",5.2352,132.95
"1990, Monday, Dec 17",5.2352,133.25
"1990, Tuesday, Dec 18",5.2352,133.23
"1990, Wednesday, Dec 19",5.2352,134.15
"1990, Thursday, Dec 20",5.2352,134.85
"1990, Friday, Dec 21",5.2352,135.6
"1990, Monday, Dec 24",5.2352,136.05
"1990, Tuesday, Dec 25",,
"1990, Wednesday, Dec 26",5.2352,136.05
"1990, Thursday, Dec 27",5.2352,136.45
"1990, Friday, Dec 28",5.2352,135.12
"1990, Monday, Dec 31",5.2352,135.75
"1991, Tuesday, Jan 01",,
"1991, Wednesday, Jan 02",5.2352,134.6
"1991, Thursday, Jan 03",5.2352,133.05
"1991, Friday, Jan 04",5.2352,135.1
"1991, Monday, Jan 07",5.2352,136.7
"1991, Tuesday, Jan 08",5.2352,136.45
"1991, Wednesday, Jan 09",5.2352,134.05
"1991, Thursday, Jan 10",5.2352,134.6
"1991, Friday, Jan 11",5.2352,134.25
"1991, Monday, Jan 14",5.2352,135.05
"1991, Tuesday, Jan 15",5.2352,135.9
"1991, Wednesday, Jan 16",5.2352,136.85
"1991, Thursday, Jan 17",5.2352,132.88
"1991, Friday, Jan 18",5.2352,132.8
"1991, Monday, Jan 21",,
"1991, Tuesday, Jan 22",5.2352,131.7
"1991, Wednesday, Jan 23",5.2352,132.41
"1991, Thursday, Jan 24",5.2352,132.23
"1991, Friday, Jan 25",5.2352,132.27
"1991, Monday, Jan 28",5.2352,132.2
"1991, Tuesday, Jan 29",5.2352,131.53
"1991, Wednesday, Jan 30",5.2352,131.6
"1991, Thursday, Jan 31",5.2352,131.45
"1991, Friday, Feb 01",5.2352,131.45
"1991, Monday, Feb 04",5.2352,131.08
"1991, Tuesday, Feb 05",5.2352,129.73
"1991, Wednesday, Feb 06",5.2352,128.35
"1991, Thursday, Feb 07",5.2352,127.95
"1991, Friday, Feb 08",5.2352,127.9
"1991, Monday, Feb 11",5.2352,127.72
"1991, Tuesday, Feb 12",5.2352,128.3
"1991, Wednesday, Feb 13",5.2352,129.08
"1991, Thursday, Feb 14",5.2352,129.8
"1991, Friday, Feb 15",5.2352,130.45
"1991, Monday, Feb 18",,
"1991, Tuesday, Feb 19",5.2352,131.55
"1991, Wednesday, Feb 20",5.2352,131.8
"1991, Thursday, Feb 21",5.2352,131.4
"1991, Friday, Feb 22",5.2352,132.2
"1991, Monday, Feb 25",5.2352,133.35
"1991, Tuesday, Feb 26",5.2352,132.85
"1991, Wednesday, Feb 27",5.2352,132.27
"1991, Thursday, Feb 28",5.2352,132.95
"1991, Friday, Mar 01",5.2352,134.55
"1991, Monday, Mar 04",5.2352,135.55
"1991, Tuesday, Mar 05",5.2352,135.39
"1991, Wednesday, Mar 06",,136.25
"1991, Thursday, Mar 07",,135.8
"1991, Friday, Mar 08",,136.25
"1991, Monday, Mar 11",5.2352,138.1
"1991, Tuesday, Mar 12",5.2352,136.3
"1991, Wednesday, Mar 13",5.2352,136.4
"1991, Thursday, Mar 14",5.2352,135.95
"1991, Friday, Mar 15",5.2352,137.2
"1991, Monday, Mar 18",5.2352,138.15
"1991, Tuesday, Mar 19",5.2352,138.15
"1991, Wednesday, Mar 20",5.2352,138.6
"1991, Thursday, Mar 21",5.2352,137.6
"1991, Friday, Mar 22",5.2352,137.2
"1991, Monday, Mar 25",5.2352,138.43
"1991, Tuesday, Mar 26",5.2352,138.35
"1991, Wednesday, Mar 27",5.2352,139.1
"1991, Thursday, Mar 28",5.2352,141.2
"1991, Friday, Mar 29",5.2352,140.6
"1991, Monday, Apr 01",5.2352,140.2
"1991, Tuesday, Apr 02",5.2352,138.3
"1991, Wednesday, Apr 03",5.2352,137.4
"1991, Thursday, Apr 04",5.2352,135.97
"1991, Friday, Apr 05",5.2352,136.9
"1991, Monday, Apr 08",5.2352,137.25
"1991, Tuesday, Apr 09",5.2853,135.1
"1991, Wednesday, Apr 10",5.2853,136.35
"1991, Thursday, Apr 11",5.2853,135.95
"1991, Friday, Apr 12",5.2827,136.3
"1991, Monday, Apr 15",5.2827,134.48
"1991, Tuesday, Apr 16",5.2827,134.85
"1991, Wednesday, Apr 17",5.2827,136.35
"1991, Thursday, Apr 18",5.289,136.8
"1991, Friday, Apr 19",5.2979,138.58
"1991, Monday, Apr 22",5.3083,139.45
"1991, Tuesday, Apr 23",5.3036,137.94
"1991, Wednesday, Apr 24",5.3036,138.05
"1991, Thursday, Apr 25",5.3036,138.05
"1991, Friday, Apr 26",5.3036,138.13
"1991, Monday, Apr 29",5.3036,137.7
"1991, Tuesday, Apr 30",,136.38
"1991, Wednesday, May 01",5.3007,137.6
"1991, Thursday, May 02",5.3007,138.1
"1991, Friday, May 03",5.3007,138.55
"1991, Monday, May 06",5.3201,138.47
"1991, Tuesday, May 07",5.3201,137.95
"1991, Wednesday, May 08",5.3201,138.35
"1991, Thursday, May 09",5.3264,139.3
"1991, Friday, May 10",5.3264,138.75
"1991, Monday, May 13",5.3264,139.42
"1991, Tuesday, May 14",5.3264,138.15
"1991, Wednesday, May 15",5.3201,137.99
"1991, Thursday, May 16",5.3201,137.55
"1991, Friday, May 17",5.3201,138.5
"1991, Monday, May 20",5.3332,138.22
"1991, Tuesday, May 21",5.3332,137.5
"1991, Wednesday, May 22",5.3296,138.05
"1991, Thursday, May 23",5.3359,137.73
"1991, Friday, May 24",5.3359,138.4
"1991, Monday, May 27",,
"1991, Tuesday, May 28",5.3359,137.8
"1991, Wednesday, May 29",5.3359,138.2
"1991, Thursday, May 30",5.349,137.85
"1991, Friday, May 31",5.349,138.45
"1991, Monday, Jun 03",5.3537,139.08
"1991, Tuesday, Jun 04",5.3585,138.66
"1991, Wednesday, Jun 05",5.3585,139.13
"1991, Thursday, Jun 06",5.3585,139.18
"1991, Friday, Jun 07",5.3585,140.31
"1991, Monday, Jun 10",5.3674,141.9
"1991, Tuesday, Jun 11",5.3674,141.2
"1991, Wednesday, Jun 12",5.3674,141.9
"1991, Thursday, Jun 13",5.3737,141.33
"1991, Friday, Jun 14",,140.55
"1991, Monday, Jun 17",5.3737,140.97
"1991, Tuesday, Jun 18",5.3737,140.9
"1991, Wednesday, Jun 19",5.3737,140.08
"1991, Thursday, Jun 20",5.369,138.74
"1991, Friday, Jun 21",5.369,139.0
"1991, Monday, Jun 24",5.369,138.9
"1991, Tuesday, Jun 25",5.369,138.82
"1991, Wednesday, Jun 26",5.369,138.3
"1991, Thursday, Jun 27",5.369,138.1
"1991, Friday, Jun 28",5.369,137.9
"1991, Monday, Jul 01",5.369,138.4
"1991, Tuesday, Jul 02",5.3784,138.78
"1991, Wednesday, Jul 03",5.3847,139.5
"1991, Thursday, Jul 04",,
"1991, Friday, Jul 05",5.3847,138.35
"1991, Monday, Jul 08",5.3789,138.73
"1991, Tuesday, Jul 09",5.3742,138.65
"1991, Wednesday, Jul 10",5.3742,138.53
"1991, Thursday, Jul 11",5.3742,138.58
"1991, Friday, Jul 12",5.3742,136.75
"1991, Monday, Jul 15",5.3679,136.7
"1991, Tuesday, Jul 16",5.3679,137.15
"1991, Wednesday, Jul 17",5.3679,136.8
"1991, Thursday, Jul 18",5.3679,136.8
"1991, Friday, Jul 19",5.3679,136.45
"1991, Monday, Jul 22",5.3605,137.45
"1991, Tuesday, Jul 23",5.3605,136.98
"1991, Wednesday, Jul 24",5.3605,137.38
"1991, Thursday, Jul 25",,138.85
"1991, Friday, Jul 26",5.3605,137.9
"1991, Monday, Jul 29",5.3605,138.18
"1991, Tuesday, Jul 30",5.3605,137.93
"1991, Wednesday, Jul 31",5.3605,137.42
"1991, Thursday, Aug 01",5.3605,137.67
"1991, Friday, Aug 02",5.3605,136.74
"1991, Monday, Aug 05",5.3605,136.68
"1991, Tuesday, Aug 06",5.3568,135.73
"1991, Wednesday, Aug 07",5.3568,135.85
"1991, Thursday, Aug 08",5.3568,136.47
"1991, Friday, Aug 09",5.3618,136.9
"1991, Monday, Aug 12",5.3618,136.54
"1991, Tuesday, Aug 13",5.3618,136.52
"1991, Wednesday, Aug 14",5.3618,136.61
"1991, Thursday, Aug 15",5.3618,136.47
"1991, Friday, Aug 16",5.3696,137.25
"1991, Monday, Aug 19",5.3785,138.3
"1991, Tuesday, Aug 20",5.3936,137.45
"1991, Wednesday, Aug 21",5.3888,136.8
"1991, Thursday, Aug 22",5.3862,136.43
"1991, Friday, Aug 23",5.3862,137.1
"1991, Monday, Aug 26",5.3862,137.0
"1991, Tuesday, Aug 27",5.3862,137.0
"1991, Wednesday, Aug 28",5.3862,136.6
"1991, Thursday, Aug 29",5.3862,137.0
"1991, Friday, Aug 30",5.3862,136.85
"1991, Monday, Sep 02",,
"1991, Tuesday, Sep 03",5.3862,136.02
"1991, Wednesday, Sep 04",5.3862,135.3
"1991, Thursday, Sep 05",5.3862,135.87
"1991, Friday, Sep 06",5.3862,136.15
"1991, Monday, Sep 09",5.3862,134.95
"1991, Tuesday, Sep 10",5.3835,134.85
"1991, Wednesday, Sep 11",5.3835,134.95
"1991, Thursday, Sep 12",5.3835,134.06
"1991, Friday, Sep 13",5.3835,133.98
"1991, Monday, Sep 16",,133.65
"1991, Tuesday, Sep 17",5.3835,133.82
"1991, Wednesday, Sep 18",,134.17
"1991, Thursday, Sep 19",5.3899,134.5
"1991, Friday, Sep 20",5.3899,134.37
"1991, Monday, Sep 23",5.3899,133.05
"1991, Tuesday, Sep 24",5.3899,133.08
"1991, Wednesday, Sep 25",5.3899,133.3
"1991, Thursday, Sep 26",5.3899,133.67
"1991, Friday, Sep 27",5.3899,133.4
"1991, Monday, Sep 30",,132.85
"1991, Tuesday, Oct 01",5.3899,133.2
"1991, Wednesday, Oct 02",5.3899,132.68
"1991, Thursday, Oct 03",5.3899,130.77
"1991, Friday, Oct 04",5.3854,130.03
"1991, Monday, Oct 07",5.3854,129.3
"1991, Tuesday, Oct 08",5.3854,130.1
"1991, Wednesday, Oct 09",5.3944,130.25
"1991, Thursday, Oct 10",5.3944,130.35
"1991, Friday, Oct 11",5.3944,129.73
"1991, Monday, Oct 14",,
"1991, Tuesday, Oct 15",5.3944,130.22
"1991, Wednesday, Oct 16",5.3944,130.02
"1991, Thursday, Oct 17",,129.83
"1991, Friday, Oct 18",5.3944,129.77
"1991, Monday, Oct 21",5.3944,130.73
"1991, Tuesday, Oct 22",5.3944,131.2
"1991, Wednesday, Oct 23",5.3944,131.55
"1991, Thursday, Oct 24",5.3944,131.18
"1991, Friday, Oct 25",5.3944,131.4
"1991, Monday, Oct 28",,132.25
"1991, Tuesday, Oct 29",5.3807,130.75
"1991, Wednesday, Oct 30",5.3944,131.08
"1991, Thursday, Oct 31",5.3944,130.6
"1991, Friday, Nov 01",,130.3
"1991, Monday, Nov 04",5.3944,128.9
"1991, Tuesday, Nov 05",5.3944,129.8
"1991, Wednesday, Nov 06",,129.9
"1991, Thursday, Nov 07",,129.7
"1991, Friday, Nov 08",5.3975,130.32
"1991, Monday, Nov 11",,
"1991, Tuesday, Nov 12",,129.65
"1991, Wednesday, Nov 13",,130.12
"1991, Thursday, Nov 14",5.4002,129.87
"1991, Friday, Nov 15",5.3976,130.05
"1991, Monday, Nov 18",5.3976,129.3
"1991, Tuesday, Nov 19",5.3976,129.95
"1991, Wednesday, Nov 20",5.3976,129.77
"1991, Thursday, Nov 21",5.3955,129.62
"1991, Friday, Nov 22",5.402,129.53
"1991, Monday, Nov 25",5.402,127.77
"1991, Tuesday, Nov 26",5.402,128.1
"1991, Wednesday, Nov 27",5.402,130.28
"1991, Thursday, Nov 28",,
"1991, Friday, Nov 29",5.4115,130.08
"1991, Monday, Dec 02",5.4115,129.95
"1991, Tuesday, Dec 03",5.4115,129.55
"1991, Wednesday, Dec 04",5.4115,129.55
"1991, Thursday, Dec 05",5.4115,128.77
"1991, Friday, Dec 06",5.4115,128.2
"1991, Monday, Dec 09",5.4115,128.4
"1991, Tuesday, Dec 10",5.4115,128.7
"1991, Wednesday, Dec 11",5.4207,129.15
"1991, Thursday, Dec 12",5.4207,129.24
"1991, Friday, Dec 13",5.4207,128.8
"1991, Monday, Dec 16",5.4299,128.47
"1991, Tuesday, Dec 17",5.4261,128.6
"1991, Wednesday, Dec 18",5.4261,128.45
"1991, Thursday, Dec 19",5.4261,128.33
"1991, Friday, Dec 20",5.4261,127.57
"1991, Monday, Dec 23",5.4261,126.55
"1991, Tuesday, Dec 24",5.4292,127.55
"1991, Wednesday, Dec 25",,
"1991, Thursday, Dec 26",5.4292,126.78
"1991, Friday, Dec 27",5.4292,125.57
"1991, Monday, Dec 30",5.4478,125.75
"1991, Tuesday, Dec 31",5.4478,124.9
"1992, Wednesday, Jan 01",,
"1992, Thursday, Jan 02",5.4478,124.5
"1992, Friday, Jan 03",5.4559,124.8
"1992, Monday, Jan 06",5.4559,124.1
"1992, Tuesday, Jan 07",5.4494,124.4
"1992, Wednesday, Jan 08",5.4494,124.9
"1992, Thursday, Jan 09",5.4494,125.4
"1992, Friday, Jan 10",5.4591,127.05
"1992, Monday, Jan 13",5.4646,126.85
"1992, Tuesday, Jan 14",5.4646,126.8
"1992, Wednesday, Jan 15",5.4646,128.4
"1992, Thursday, Jan 16",5.4686,128.28
"1992, Friday, Jan 17",5.4686,127.45
"1992, Monday, Jan 20",,
"1992, Tuesday, Jan 21",5.4641,123.2
"1992, Wednesday, Jan 22",5.4641,123.22
"1992, Thursday, Jan 23",5.4641,123.9
"1992, Friday, Jan 24",5.4668,123.42
"1992, Monday, Jan 27",5.4668,125.4
"1992, Tuesday, Jan 28",5.4686,125.62
"1992, Wednesday, Jan 29",5.4686,125.45
"1992, Thursday, Jan 30",5.4686,126.0
"1992, Friday, Jan 31",5.4686,125.55
"1992, Monday, Feb 03",5.4686,125.95
"1992, Tuesday, Feb 04",5.4686,126.15
"1992, Wednesday, Feb 05",5.4686,125.83
"1992, Thursday, Feb 06",5.4686,125.65
"1992, Friday, Feb 07",5.4686,125.22
"1992, Monday, Feb 10",5.4616,126.7
"1992, Tuesday, Feb 11",5.4709,126.93
"1992, Wednesday, Feb 12",5.4802,127.68
"1992, Thursday, Feb 13",5.4837,127.68
"1992, Friday, Feb 14",5.4837,127.93
"1992, Monday, Feb 17",,
"1992, Tuesday, Feb 18",5.4837,128.0
"1992, Wednesday, Feb 19",5.4837,128.4
"1992, Thursday, Feb 20",5.4837,128.65
"1992, Friday, Feb 21",5.4837,128.72
"1992, Monday, Feb 24",5.4837,129.1
"1992, Tuesday, Feb 25",5.4837,129.45
"1992, Wednesday, Feb 26",5.4837,129.68
"1992, Thursday, Feb 27",5.483,129.41
"1992, Friday, Feb 28",5.483,129.15
"1992, Monday, Mar 02",5.483,129.63
"1992, Tuesday, Mar 03",5.483,130.84
"1992, Wednesday, Mar 04",5.4887,132.11
"1992, Thursday, Mar 05",5.4887,131.85
"1992, Friday, Mar 06",5.4887,131.76
"1992, Monday, Mar 09",5.4887,131.92
"1992, Tuesday, Mar 10",5.4887,132.88
"1992, Wednesday, Mar 11",5.4887,133.45
"1992, Thursday, Mar 12",5.4864,134.25
"1992, Friday, Mar 13",5.4892,133.6
"1992, Monday, Mar 16",5.4892,133.98
"1992, Tuesday, Mar 17",5.4892,133.45
"1992, Wednesday, Mar 18",5.4837,132.05
"1992, Thursday, Mar 19",5.4837,133.27
"1992, Friday, Mar 20",5.4929,134.15
"1992, Monday, Mar 23",5.4929,133.7
"1992, Tuesday, Mar 24",5.4929,133.69
"1992, Wednesday, Mar 25",5.4887,133.35
"1992, Thursday, Mar 26",5.4837,133.95
"1992, Friday, Mar 27",5.4837,133.12
"1992, Monday, Mar 30",5.4812,133.06
"1992, Tuesday, Mar 31",5.4812,132.92
"1992, Wednesday, Apr 01",5.4812,134.5
"1992, Thursday, Apr 02",5.4812,133.83
"1992, Friday, Apr 03",5.4812,133.25
"1992, Monday, Apr 06",5.4812,132.72
"1992, Tuesday, Apr 07",5.4812,133.28
"1992, Wednesday, Apr 08",5.4812,132.6
"1992, Thursday, Apr 09",5.4792,132.23
"1992, Friday, Apr 10",5.4792,132.9
"1992, Monday, Apr 13",5.5077,133.28
"1992, Tuesday, Apr 14",5.5077,132.79
"1992, Wednesday, Apr 15",5.5328,133.39
"1992, Thursday, Apr 16",5.5328,133.9
"1992, Friday, Apr 17",5.5328,134.0
"1992, Monday, Apr 20",5.5328,134.5
"1992, Tuesday, Apr 21",5.5328,134.23
"1992, Wednesday, Apr 22",5.5328,134.15
"1992, Thursday, Apr 23",5.5328,134.53
"1992, Friday, Apr 24",5.5254,134.53
"1992, Monday, Apr 27",5.5254,133.13
"1992, Tuesday, Apr 28",5.5254,133.33
"1992, Wednesday, Apr 29",5.5239,133.5
"1992, Thursday, Apr 30",5.5239,133.3
"1992, Friday, May 01",,132.75
"1992, Monday, May 04",5.5239,132.7
"1992, Tuesday, May 05",5.5239,133.07
"1992, Wednesday, May 06",5.5388,132.5
"1992, Thursday, May 07",5.5338,132.7
